China National Basketball League JAN 06, 00:30,Guang Xi Weizhuang - 2.1666667,Fujian PutianXingfa - 0.33333334,https://m.aiscore.com/basketball/match-guang-xi-weizhuang-fujian-putianxingfa/527rjswv5v3s4ke/h2h,links.add("https://m.aiscore.com/basketball/match-guang-xi-weizhuang-fujian-putianxingfa/527rjswv5v3s4ke/h2h");
Men's 1st Division A JAN 06, 08:00,Nilan Bisons - 2.1666667,Raiders Basket - 0.3,https://m.aiscore.com/basketball/match-nilan-bisons-raiders-basket/8lk2ys65zr0sz73/h2h,links.add("https://m.aiscore.com/basketball/match-nilan-bisons-raiders-basket/8lk2ys65zr0sz73/h2h");
Women's National Basketball League JAN 06, 23:30,Canberra Women - 0.16666667,Townsville Fire Women - 2.1666667,https://m.aiscore.com/basketball/match-canberra-women-townsville-fire-women/vrqw9s98z3gb47n/h2h,links.add("https://m.aiscore.com/basketball/match-canberra-women-townsville-fire-women/vrqw9s98z3gb47n/h2h");
